"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.wjholden.nmap","src/com/wjholden/nmap/NmapConstants.java","3","12","An Interface should be used only to model a behaviour; consider converting this to a class.","Design Rules","AvoidConstantsInterface"
"2","com.wjholden.nmap","src/com/wjholden/nmap/NmapConstants.java","3","68","Avoid excessively long variable names like MENU_ITEM_DEBUG_ENABLE","Naming Rules","LongVariable"
"3","com.wjholden.nmap","src/com/wjholden/nmap/NmapConstants.java","3","73","Avoid excessively long variable names like MENU_ITEM_DEBUG_EMAIL","Naming Rules","LongVariable"
"4","com.wjholden.nmap","src/com/wjholden/nmap/NmapConstants.java","3","78","Avoid excessively long variable names like MENU_ITEM_MORE_HELP","Naming Rules","LongVariable"
"5","com.wjholden.nmap","src/com/wjholden/nmap/NmapConstants.java","3","83","Avoid excessively long variable names like MENU_ITEM_REINSTALL","Naming Rules","LongVariable"
"6","com.wjholden.nmap","src/com/wjholden/nmap/NmapConstants.java","3","91","Avoid excessively long variable names like MENU_GROUP_EXTRA_OPTIONS","Naming Rules","LongVariable"
"7","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","33","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"8","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","41","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"9","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","49","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"10","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","69","Local variable 'msg' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"11","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","73","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"12","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","94","Local variable 'msg' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"13","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","99","Local variable 'msg' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"14","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","132","Local variable 'buf' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"15","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","135","Local variable 'in_nmap_a' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"16","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","195","Avoid excessively long variable names like installationResults","Naming Rules","LongVariable"
"17","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","200","Avoid variables with short names like os","Naming Rules","ShortVariable"
"18","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","201","Avoid variables with short names like in","Naming Rules","ShortVariable"
"19","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","240","Avoid assignments in operands","Controversial Rules","AssignmentInOperand"
"20","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","5","240","Found 'DU'-anomaly for variable 'input' (lines '240'-'265').","Controversial Rules","DataflowAnomalyAnalysis"
"21","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","3","244","Avoid assignments in operands","Controversial Rules","AssignmentInOperand"
"22","com.wjholden.nmap","src/com/wjholden/nmap/NmapInstall.java","5","244","Found 'DU'-anomaly for variable 'error' (lines '244'-'265').","Controversial Rules","DataflowAnomalyAnalysis"
"23","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","1","A high number of imports can indicate a high degree of coupling within an object.","Coupling Rules","ExcessiveImports"
"24","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","43","The class 'NmapMain' has a Cyclomatic Complexity of 5 (Highest = 20).","Code Size Rules","CyclomaticComplexity"
"25","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","43","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"26","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","43","Too many fields","Code Size Rules","TooManyFields"
"27","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","110","Avoid variables with short names like sh","Naming Rules","ShortVariable"
"28","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","125","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"29","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","130","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"30","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","142","Avoid variables with short names like pd","Naming Rules","ShortVariable"
"31","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","147","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"32","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","152","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"33","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","152","Perhaps 'preferencesEditor' could be replaced by a local variable.","Design Rules","SingularField"
"34","com.wjholden.nmap","src/com/wjholden/nmap/NmapMain.java","3","166","Avoid variables with short names like ne","Naming Rules","ShortVariable"
